Neuron,NonNeuronal
Rbfox3,Ttc14
Rbm15b,Ttc21a
Rbm38,Ttc21b
Rbm4,Ttc37
Rbm4b,Ttc9
Rbms3,Ttll4
Rcan2,Ttll8
Rcan3,Ttpa
Rcor2,Ttyh1
Rell2,Ttyh3
Reln,Tulp3
Rem2,Txnrd3
Retn,Ube2f
Rfx1,Ucp3
Rfx3,Ugt1a6a
Rtl9,Ugt1a6a
Rgmb,Upf3b
Rgs11,Upp1
Rgs17,Uqcrh
Rgs4,Usp54
Rgs7bp,Uty
Rgs8,Vav3
Rhbdl1,Vcam1
Rhof,Vcl
Rhov,Vegfa
Rian,Veph1
Rimbp2,Vezt
Rims3,Vgll2
Rims4,Vhl
Ripk4,Vit
Rit2,Vmn2r57
Carmil2,Vnn1
Rnaseh2b,Vps13c
Rnd3,Vps13d
Rnf152,Vwa8
Rnf165,Wasf3
Rnf214,Cfap52
Rnf39,Wdr19
Rnft2,Wdr35
Rnpc3,Cfap44
Robo2,Wdr5b
Rpp25,Wdr60
Rps19bp1,Wdr63
Rrm2,Daw1
Rsph4a,Wdr78
Rspo1,Cfap43
Rspo2,Wipi1
Rspo3,Wnt7a
Rtbdn,Wsb1
Rtl1,Wwc1
Rtn1,Xkrx
Rtn4r,Yap1
Rtn4rl2,Zbtb20
Rufy3,Zbtb25
Rundc3b,Zbtb37
Runx1t1,Zbtb41
Rusc1,Zc3h13
Rxfp1,Zcchc24
Ryr2,Zdhhc21
Samd10,Zfc3h1
Samd14,Zfp11
Samd3,Zfp112
Sap130,Zfp142
Sarm1,Zfp160
Satb2,Zfp185
Sbk1,Zfp229
Sbsn,Zfp280c
Scai,Zfp36l2
Scarna13,Zfp40
Scg2,Zfp449
Scmh1,Zfp507
Scml4,Zfp532
Scn2b,Zfp58
Scn3b,Zfp607a
Scn4b,Zfp661
Scn5a,Zfp708
Scn9a,Zfp759
Scrt1,Zfp799
Scrt2,Zfp839
Scube3,Zfp870
Scx,Zfp879
Sdk2,Zfp933
Sdr39u1,Zfp945
Sdsl,Zfp964
Sema3a,Zfp97
Sema4g,Zfyve16
Sema6c,Zhx2
Senp3,Zhx3
Senp7,Zmynd10
Septin3,Znrd1as
Septin6,Znrf3
Serp2,Zranb3
Serpinc1,Zscan12
Serpini1,Zscan20
Sertad4,Hacd3
Setd2,Marchf2
Sez6,2610507B11Rik
Sez6l2,Dglucy
Sfswap,9930111J21Rik2
Sfxn3,AB124611
Sgip1,Cd300c2
Sgsm1,Ifi207
Sgtb,AI661453
Sh2d7,AI662270
Sh3gl2,Aagab
Sh3rf3,Abca1
Sh3yl1,Abca9
Shank1,Abcc3
Shank2,Abcd1
Shisa6,Abcg3
Sidt1,Abhd12
Sin3b,Abhd14b
Sipa1l1,Abhd15
Sipa1l3,Abi3
Sirt6,Acads
Six3,Accs
Slc10a4,Acox3
Slc12a5,Acsl5
Slc17a6,Actb
Slc17a8,Ada
Slc18a2,Adam15
Slc18a3,Adam33
Slc22a15,Adam8
Slc24a2,Adamts16
Slc24a3,Adap2
Slc25a22,Adcy7
Slc25a27,Adora3
Slc27a2,Adrb2
Slc27a3,Grk2
Slc2a13,Adssl1
Slc2a3,Afp
Slc32a1,Aga
Slc35d3,Agpat2
Slc35e1,Aif1
Slc35f4,Aim2
Slc37a1,Akap10
Slc38a1,Akna
Slc38a4,Akr1b3
Slc5a7,Akr1b10
Slc6a15,Akr1b3
Slc6a17,Alb
Slc6a7,Aldh16a1
Slc7a14,Aldh3b1
Slc7a4,Alkbh3
Slc9a6,Alox15
Slco5a1,Alox5
Slfn9,Alox5ap
Slit1,Amdhd2
Slit3,Ang
Sln,Angptl7
Smarca5,Ankrd44
Smarcal1,Anks6
Smarcd3,Anxa4
Smc4,Aoah
Smc5,Ap1b1
Smg1,Ap1g2
Smg7,Ap3b1
Smg8,Ap5b1
Smpd3,Ap5z1
Smpd4,Apaf1
Sms,Apbb1ip
Snap25,Apobec1
Snap91,Apobec2
Snca,Apobec3
Sncb,Apobr
Snhg10,Apoc1
Snhg11,Apoc2
Snhg4,Arap1
Snora75,Arap3
Snord15b,Arf2
Snord17,Arfgef2
Snrpn,Arg1
Sntg2,Arglu1
Snx10,Arhgap17
Snx16,Arhgap19
Snx21,Arhgap22
Sobp,Arhgap25
Sox11,Arhgap27
Sox4,Arhgap30
Sp8,Arhgap39
Sp9,Arhgap4
Spag6,Arhgap9
Spata2l,Arhgdia
Spc25,Arhgdib
Spdef,Arhgef6
Spen,Arid3a
Sphkap,Arid3b
Spin1,Arid4a
Spink10,Arl11
Spint2,Arl4c
Sptbn4,Arl5c
Spock1,Armc3
Spryd3,Armc5
Srgap3,Armc7
Srrm3,Arpc1b
Srrm4,Arpc4
Srsf12,Arpc5
Ss18l1,Actrt3
Ssbp2,Arrb1
Ssbp3,Arrb2
Ssh2,Arsb
Znrd2,Arsg
Sst,As3mt
Sstr2,Asb10
Sstr4,Asb2
St18,Ascc1
St7,Ascl2
St8sia2,Asgr2
St8sia3,Asl
St8sia5,Asph
Stac,Atf3
Stau2,Atp13a2
Stk32b,Atp2a3
Stk32c,Atp5c1
Stmn1,Atp6v1f
Stmn2,Aup1
Stmn3,B2m
Strbp,B3galt4
Stx19,B3gnt8
Stx1a,B4galnt1
Stx1b,B4galt1
Stxbp1,B4galt5
Suds3,Themis2
Sugp1,Cybc1
Sugp2,Map11
Sult4a1,Lrrc75a
Sult5a1,BC049352
Susd2,Nxpe5
Suv39h2,Cstdc5
Suz12,Adgrb1
Sv2b,Bank1
Sv2c,Batf
Svop,Batf3
Syn1,Baz1a
Syn2,Bcat2
Syn3,Bcl2a1a
Syne2,Bcl2a1b
Syngap1,Bcl2a1c
Syngr3,Bcl2a1d
Synpr,Bcl2l1
Syp,Bcl3
Syt1,Bco2
Syt10,Bcor
Syt13,Bhlhe41
Syt17,Bid
Syt2,Bik
Syt3,Bin1
Syt4,Bin2
Syt5,Blnk
Syt6,Bloc1s5
Syt7,Blvra
Sytl1,Blvrb
Tac2,Bmf
Tacc3,Bmp2k
Tacr1,Bri3
Tanc2,Btaf1
Tas1r1,Btbd19
Tasp1,Btg1
Tbc1d30,Btg2
Tbc1d7,Btk
Tbr1,C1qa
Tbx6,C1qb
Tceal7,C1qc
Tcerg1l,C1rl
Tcf20,C2
Tcf4,C3
Tfap2d,C3ar1
Tchh,C5ar1
Tcp11,Cables1
Tdrd3,Cacna1s
Tdrd6,Cacul1
Tead1,Calhm2
Tecta,Camk1
Tekt2,Camp
Terf2,Cap1
Terf2ip,Capn1
Tet3,Capn3
Tex15,Capza1
Tex30,Car13
Tgfb1,Card11
Th,Card9
Thbs2,Casp1
Thsd7a,Casp4
Thsd7b,Cass4
Thy1,Cbln1
Tiam2,Cbln2
Timeless,Cbln4
Tle3,Cbr2
Tlk2,Ccdc162
Tm4sf5,Ccdc186
Tmem130,Ccdc22
Tmem132a,Ccdc50
Tmem145,Ccdc86
Tmem150c,Ccdc88b
Tmem158,Ccdc93
Tmem169,Ccdc97
Tmem178,Ccl12
Tmem198,Ccl17
Tmem200a,Ccl2
Tmem210,Ccl22
Tmem30c,Ccl24
Tmem35a,Ccl3
Tmem59l,Ccl4
Tmem63c,Ccl5
Syndig1l,Ccl6
Tmem91,Ccl7
Tmppe,Ccl8
Tmprss2,Ccl9
Tnfaip8l3,Ccr1
Tnrc6c,Ccr1l1
Tomm5,Ccr2
Top2a,Ccr3
Tpx2,Ccr5
Trank1,Ccr6
Trappc6b,Ccr7
Tfr2,Ccrl2
Trhde,Cd101
Trim17,Cd14
Trim33,Cd163
Trim46,Cd164
Trim66,Cd180
Trim67,Cd19
Trnp1,Cd2
Tro,Cd200r1
Trp53i11,Cd209a
Trp73,Cd209b
Trpc3,Cd209d
Trpc4,Cd209f
Trpc5,Cd209g
Trpc6,Cd22
Trpc7,Cd300a
Trpv1,Cd300lb
Trpv6,Cd300ld
Trrap,Cd300lf
Tsc22d2,Cd33
Tspan11,Cd37
Tspyl4,Cd3d
Ttbk2,Cd3e
Ttc22,Cd4
Ttc26,Cd48
Ttc34,Cd5
Ttc39a,Cd52
Ttc9b,Cd53
Ttl,Cd6
Tuba8,Cd63
Tubb2a,Cd68
Tubb2a-ps2,Cd7
Tubb2b,Cd72
Tubb3,Cd74
Tubg2,Cd79a
Tuft1,Cd79b
Tulp1,Cd80
Tusc3,Cd83
Twsg1,Cd84
Ubash3b,Cd86
Ube2c,Cd8b1
Ube2o,Cd99l2
Ube2ql1,Cdca4
Ube2v2,Cdh23
Ubfd1,Cdk6
Ubqln1,Cds1
Ubqln2,Cdt1
Uchl1,Ceacam10
Ufsp1,Ceacam2
Uggt2,Cebpa
Ulk1,Cebpb
Unc119,Cep250
Unc13a,Cerk
Unc5a,Cfh
Unc5d,Cfp
Upf2,Ch25h
Upk3a,Chil3
Upp2,Chil3
Urb1,Chmp1b
Usp11,Chst12
Usp22,Chst7
Usp28,Cib1
Usp29,Cilp2
Usp48,Ckm
Usp9x,Clcf1
Utp23,Clcn5
Utp3,Clec10a
Vamp2,Clec12a
Vash2,Clec2i
Vax1,Clec4a1
Vezf1,Clec4a2
Vgf,Clec4a3
Vip,Clec4a4
Vkorc1l1,Clec4d
Vmn2r1,Clec4e
Vmn2r2,Clec4n
Vopp1,Clec5a
Dcaf1,Clec7a
Vsnl1,Clic1
Vstm2a,Cln3
Vstm2l,Cln5
Vwa5b2,Cln8
Vwc2,Clta
Vwc2l,Cmklr1
Vwce,Cmtm3
Wdhd1,Cmtm6
Wdr47,Cmtm7
Wdr6,Cndp2
Wdr74,Cnpy3
Wrap73,Col27a1
Whrn,Cert1
Nsd2,Col6a3
Wif1,Colgalt1
Wipf3,Commd5
Wiz,Comp
Wnt2,Comt
Wscd2,Comtd1
Xkr4,Coro1a
Xkr7,Coro2a
Xxylt1,Cotl1
Ybx2,Cox6a2
Ydjc,Cpn1
Ypel1,Cpq
Ypel4,Cradd
Yrdc,Creg1
Ywhag,Crip1
Zbtb12,Cry1
Zbtb16,Cryba4
Zbtb18,Crybb1
Zbtb8b,Cryl1
Zc2hc1a,Csf1
Zc3h13,Csf1r
Zcchc12,Csf2
Zcchc18,Csf2rb
Zdbf2,Csf2rb2
Zdhhc22,Csf3r
Zfp280d,Csk
Zfp292,Cst3
Zfp362,Cst7
Zfp37,Cstb
Zfp385b,Ctbs
Zfp423,Ctdnep1
Zfp532,Ctla4
Zfp57,Ctns
Zfp575,Ctsa
Zfp62,Ctsb
Zfp644,Ctsc
Zfp667,Ctsd
Zfp711,Ctse
Zfp804a,Ctsf
Zfp804b,Ctsh
Zfp821,Ctsl
Zfp871,Ctss
Zfp92,Ctsz
Zfpm2,Cx3cr1
Zfr2,Cxcl10
Zic1,Cxcl16
Zic2,Cxcl2
Zic4,Cxcl3
Zkscan16,Cxcr3
Zmat4,Cxcr5
Zmym2,Cyb5r1
Zmym3,Cyba
Zfp143,Cyb561a3
Zfp148,Cybb
Zfp422,Cyfip1
Zfp280c,Cyp4f18
Zfp280d,Cyp4v3
Zfp423,Cysltr1
Zfp521,Cyth4
Zfp532,Cytip
Zfp536,Phf11d
Zfp609,Ldlrad4
Zfp668,M1ap
Zfp704,D8Ertd738e
Zpbp,Prag1
Zscan21,Daglb
Zwint,Dcxr
Shtn1,Ints6l
,Ddx31
,Dennd1c
,Dennd4b
,Depdc7
,Dgkd
,Dgkz
,Dhdh
,Dhrs3
,Dhx34
,Dhx58
,Diaph2
,Diaph2
,Dmxl1
,Dnajb13
,Dnajc1
,Dnajc13
,Dnase1l3
,Dnase2a
,Dnase2a
,Dnm2
,Dnttip1
,Dock2
,Dock8
,Dok1
,Dok2
,Dok3
,Dpp7
,Dqx1
,Dtnbp1
,Dtx4
,Duoxa1
,Dupd1
,Dusp1
,Dusp13
,Dusp2
,Dusp27
,Dusp5
,Dvl2
,Dyrk2
,Dyrk4
,E2f2
,Ear1
,Rnase2a
,Ear2
,Ear3
,Ear6
,Ebi3
,Edem1
,Edem2
,Eef2k
,Efhd2
,Efr3a
,Egr1
,Egr2
,Egr3
,Ehbp1l1
,Ehd1
,Ehd4
,Eid3
,Eif4ebp1
,Elf4
,Elmo1
,Eml3
,Emp3
,Adgre1
,Engase
,Eno3
,Enpp4
,Entpd1
,Epdr1
,Epn1
,Epsti1
,Epx
,Erap1
,Ermap
,Erp29
,Esr1
,Etv3
,Evi2b
,Evl
,F11r
,F13a1
,F9
,Fadd
,Fcmr
,Otulinl
,Otulin
,Fam110a
,Fam167b
,Eva1a
,Fam24a
,Calhm6
,Fam3a
,Tent5b
,Tent5c
,Cyrib
,Fam76b
,Fam78a
,Fam83g
,Fblim1
,Fbrs
,Fbxw4
,Fcer1g
,Fcgr1
,Fcgr2b
,Fcgr2b
,Fcgr3
,Fcgr4
,Fcgrt
,Fcna
,Fcrl1
,Fcrls
,Fermt3
,Fes
,Fez2
,Fgd2
,Fgr
,Fhl3
,Fhod1
,Fignl2
,Fkbp5
,Flcn
,Fmnl1
,Fmnl3
,Fndc7
,Fnip2
,Folr2
,Foxp4
,Fpr1
,Fpr2
,Frrs1
,Fscn1
,Ftl1
,Fuca1
,Furin
,Fyb
,G3bp1
,Gab2
,Gabrd
,Gadd45b
,Gal3st4
,Galk2
,Galm
,Galns
,Galnt12
,Galt
,Ganc
,Gas6
,Gatm
,Gba
,Gbgt1
,Gbp7
,Gcn1
,Gcnt1
,Gda
,Gdf15
,Gdpgp1
,Gga2
,Ggh
,Ggt5
,Gimap3
,Git2
,Gla
,Glb1l
,Glipr1
,Glrp1
,Gls
,Colgalt1
,Glul
,Cstdc4
,Gmfg
,Gmip
,Gmpr
,Gna15
,Gngt2
,Gnpda1
,Gns
,Golm1
,Lilr4b
,Gp9
,Gpat2
,Gpatch3
,Gpnmb
,Adgrg5
,Gpr132
,Gpr137b
,Gpr137b-ps
,Gpr157
,Gpr165
,Gpr18
,Gpr183
,Gpr31c
,Gpr34
,Gpr35
,Gpr65
,C5ar2
,Gpr84
,Gpsm3
,Gpx1
,Gramd1a
,Grb2
,Grn
,Gsdmd
,Gsdmd
,Gsg1
,Guca1a
,Gusb
,Gvin1
,H2-Aa
,H2-Bl
,H2-DMb1
,H2-DMb2
,H2-Ea
,H2-Eb1
,H2-K1
,H2-K2
,H2-Oa
,H2-Ob
,H2-Q1
,H2-Q10
,H2-Q2
,H2-Q7
,H2-Q8
,H2-T22
,H2-T23
,H2-T24
,H60b
,H6pd
,Haao
,Havcr2
,Hck
,Hcls1
,Hcst
,Hdc
,Heatr5a
,Mroh1
,Hebp1
,Herpud1
,Hexa
,Hexb
,Hfe
,Hgsnat
,Hk2
,Hk3
,Hltf
,Hmga1
,Hmga2
,Hmga2-ps1
,Arhgap45
,Hmox1
,Hp
,Hpgd
,Hpgds
,Hpn
,Hprt
,Hps4
,Hps6
,Hpse
,Hrc
,Hrh2
,Hs1bp3
,Hs6st1
,Hsd17b1
,Hsf2bp
,Hspa1a
,Hspa1b
,Hspa1l
,Hspb3
,Htatip2
,Htra2
,Hvcn1
,Hyi
,Icam1
,Icos
,Icosl
,Id2
,Idh2
,Ids
,Idua
,Ier3
,Ier5
,Ifi203
,Ifi204
,Ifi211
,Ifi27l2a
,Ifi30
,Ifi35
,Ifitm6
,Ifnb1
,Ifngr1
,Ifngr2
,Igf2bp3
,Ighg2b
,Igsf6
,Igtp
,Ikzf1
,Il10
,Il10ra
,Il12b
,Il16
,Il17ra
,Il1a
,Il1b
,Il1r2
,Il1rl1
,Il1rl2
,Il1rn
,Il21r
,Il27
,Il2rb
,Il4i1
,Il4ra
,Il6ra
,Il7r
,Ildr1
,Inpp4b
,Inpp5d
,Ip6k3
,Irak2
,Irak4
,Irf1
,Irf4
,Irf5
,Irf8
,Acod1
,Irgm1
,Iscu
,Isg15
,Isoc2b
,Itga6
,Itgae
,Itgal
,Itgam
,Itgax
,Itgb2
,Itgb3
,Itgb5
,Itpkc
,Itpr3
,Itpripl1
,Jak3
,Jdp2
,Junb
,Jund
,Kcna7
,Kcnab1
,Kcnd1
,Kcnk12
,Kcnk6
,Kcnn4
,Kctd12
,Kdm6b
,Khk
,Kif15
,Klhdc8b
,Klhl36
,Klhl38
,Klrb1b
,Klrd1
,Krt33a
,
,
,LOC547349
,Lacc1
,Lactb2
,Lag3
,Lair1
,Lamp2
,Laptm5
,Lasp1
,Lat
,Lat2
,Lbx1
,Lbx2
,Lcn2
,Lcp1
,Lcp2
,Ldb1
,Ldhb
,Lefty1
,P3h2
,Lfng
,Lgals1
,Lgals3
,Lgals3bp
,Lgals8
,Lgals9
,Lgmn
,Lif
,Lilra5
,Lilra6
,Pirb
,Lilrb4a
,Limd2
,Limk1
,Lipa
,Liph
,Lipo2
,Litaf
,Lpar5
,Lpcat2
,Lpcat3
,Lpxn
,Lrch1
,Lrch4
,Lrmp
,Lrp5
,Lrrc25
,Lrrc3
,Nrros
,Lrrc39
,Lrrfip1
,Lrrk1
,Lrwd1
,Lsm10
,Lsm5
,Lsp1
,Lst1
,Ltb
,Ltb4r1
,Ltc4s
,Ltf
,Ly6d
,Ly6g6e
,Ly86
,Ly9
,Lyl1
,Lyn
,Lyve1
,Lyz1
,Lyz2
,Maf
,Mafb
,Man1c1
,Man2b1
,Man2b2
,Manba
,Map2k3
,Map3k14
,Mapk13
,Mapk14
,Mapkapk2
,Mapkapk3
,Matk
,Mbnl1
,Mcoln2
,Med11
,Mef2c
,Metrnl
,Mettl7a1
,Mettl7a2
,Mfsd11
,Mfsd5
,Mgat1
,Mgat2
,Mgl2
,Mgmt
,Mknk1
,Mknk2
,Mlec
,Mllt6
,Mlph
,Mlxipl
,Mmgt2
,Mmp12
,Mmp19
,Mmp9
,Mnt
,Mob1a
,Mob3c
,Mogs
,Morc3
,Mov10
,Mpeg1
,Mpi
,Mpo
,Mrc1
,Mrgpra2b
,Mrgpra4
,Mroh1
,Ms4a6b
,Ms4a6c
,Ms4a6d
,Ms4a7
,Msh5
,Msn
,Msr1
,Map1s
,Mthfr
,Mthfsl
,Mtr
,Mvp
,Mxra8
,Myadml2
,Mybpc3
,Mybph
,Myc
,Myd88
,Myh9
,Myl2
,Mylip
,Myo18b
,Myo1c
,Myo1f
,Myo1g
,Myo7a
,Myom1
,N4bp2l1
,Naaa
,Nab2
,Naga
,Nagk
,Naglu
,Nagpa
,Naip1
,Naip2
,Naip5
,Naip6
,Naip7
,Napsa
,Nat2
,Nat9
,Nbeal2
,Ncf1
,Ncf2
,Ncf4
,Nckap1l
,Nckap5l
,Ncoa3
,Ndst2
,Necap2
,Nek6
,Nek7
,Neu1
,Neurl1a
,Neurl3
,Nfam1
,Nfatc1
,Nfatc2
,Nfe2
,Nfkb1
,Nfkb2
,Nfkbib
,Nfkbid
,Nfkbie
,Nfkbiz
,Nfxl1
,Nfya
,Ngp
,Nhlrc3
,Nhp2
,Hcar2
,Ninj1
,Nkg7
,Nlrc4
,Nlrp1a
,Nlrp1b
,Nlrp3
,Nme4
,Nmnat3
,Nmt1
,Nod2
,Nop2
,Npc2
,Npl
,Nradd
,Nrap
,Nrbf2
,Nrp
,Nt5e
,Ntpcr
,Nuak1
,Nuak2
,Numb
,Nup62
,Il4i1b
,Nupr1
,Oaf
,Oard1
,Oas2
,Oasl1
,Olfm4
,Olfml3
,Olfr110
,Olfr111
,Ophn1
,Orai1
,Orai3
,Osbpl11
,Osgep
,Osgin1
,Osm
,Otud1
,P2rx1
,P2rx4
,P2rx7
,P2ry12
,P2ry13
,P2ry2
,P2ry6
,P2ry13
,Pacsin2
,Pald1
,Paox
,Parp14
,Parp3
,Parvg
,Pctp
,Pdcd1
,Pde3b
,Pdgfb
,Pdlim4
,Pdxk
,Pecr
,Pepd
,Pes1
,Pf4
,Pfkfb3
,Pfn1
,Pggt1b
,Pgpep1
,Jade2
,Phf23
,Phka2
,Phldb3
,Phyhd1
,Pigv
,Pik3ap1
,Pik3c2a
,Pik3cd
,Pik3cg
,Pik3r5
,Pilra
,Pilrb1
,Pim1
,Pip4k2a
,Pira6
,Pkn1
,Pla2g15
,Pla2g2d
,Pla2g4a
,Pla2g4d
,Plac8
,Plagl2
,Plau
,Plbd1
,Plcb2
,Plcg2
,Plcl2
,Pld3
,Pld4
,Plek
,Plekhm2
,Plekho1
,Plekho2
,Plin2
,Plod1
,Plod3
,Plscr3
,Plxdc1
,Plxdc2
,Plxnb2
,Pmepa1
,Pmm2
,Pmp22
,Pnp
,Pnp2
,Pnpla7
,Pnpo
,Pon3
,Por
,Pou2f2
,Ppcdc
,Ppp1r15a
,Ppp1r3b
,Ppp6r1
,Pprc1
,Ppt1
,Ppt2
,Slc66a1
,Prg2
,Prkcd
,Prorsd1
,Prps1l1
,Prps2
,Psap
,Psd4
,Psmb10
,Psmb8
,Psmb9
,Psme2
,Ptafr
,Ptbp3
,Ptgds
,Ptger1
,Ptger4
,Ptgr1
,Ptgs1
,Ptk2b
,Ptpn1
,Ptpn18
,Ptpn6
,Ptpn7
,Ptprc
,Ptprcap
,Ptprj
,Pts
,Pus1
,Pus10
,Pwwp2b
,Pxn
,Pycard
,Pygl
,Pyroxd2
,Qprt
,Qsox1
,Rab11fip5
,Rab17
,Rab20
,Rab27a
,Rab32
,Rab35
,Rab39
,Rab3d
,Rab3il1
,Rab43
,Rab8b
,Rabep2
,Rac2
,Rad9a
,Rap2c
,Rapsn
,Rasa4
,Rasal3
,Rasd2
,Rassf4
,Rassf5
,Gm38431
,Rbm34
,Rbm38
,Rbm47
,Rcan1
,Rcsd1
,Rel
,Rela
,Relb
,Renbp
,Retnla
,Retnlg
,Rftn1
,Rgs1
,Rgs10
,Rgs14
,Rgs19
,Rgs2
,Rhbdf2
,Rhob
,Rhog
,Rhoh
,Rilpl1
,Rilpl2
,Rin3
,Rinl
,Ripk3
,Rn4.5s
,Rnase10
,Rnase12
,Rnase4
,Rnase6
,Rnasel
,Rnaset2a
,Rnaset2b
,Rnf114
,Rnf166
,Rnf19b
,Rnf213
,Rnh1
,Rnpep
,Rogdi
,Rp2
,Rpl10
,Rpl19
,Rpl3
,Rpl30
,Rplp1
,Rps6ka1
,Rps6ka4
,Rptor
,Rrad
,Rraga
,Rragc
,Rtn4rl1
,Rufy1
,Snx29
,Runx1
,Runx3
,Rxra
,Rxrb
,S100a8
,S100a9
,S1pr4
,Sag
,Sall1
,Samhd1
,Sap30
,Sash3
,Sat1
,Sbno2
,Scamp2
,Scly
,Scpep1
,Sdc4
,Selplg
,Serinc3
,Serpina3n
,Serpinb1b
,Serpinb6a
,Serpinb8
,Serpine1
,Serpinf1
,Serpinf2
,Spi1
,Sft2d1
,Sft2d2
,Sfxn2
,Sgk1
,Sgpl1
,Sgsh
,Sh2b2
,Sh2b3
,Sh3bp1
,Sh3bp2
,Sh3kbp1
,Sh3pxd2a
,Sh3tc1
,Shb
,Shc1
,Shkbp1
,Shmt1
,Siae
,Siglec1
,Siglecf
,Siglece
,Siglecg
,Siglech
,Sipa1
,Sirpa
,Skap2
,Ski
,Sla
,Slamf1
,Slamf6
,Slamf8
,Slamf9
,Slc10a3
,Slc10a6
,Slc11a1
,Slc11a2
,Slc12a7
,Slc15a3
,Slc15a4
,Slc16a10
,Slc16a3
,Slc16a6
,Slc17a9
,Slc25a10
,Slc25a45
,Slc29a1
,Slc29a3
,Slc2a5
,Slc2a8
,Slc2a9
,Slc30a3
,Slc35a3
,Slc35c2
,Slc36a1
,Slc36a2
,Slc37a2
,Slc38a10
,Slc38a7
,Slc39a1
,Slc39a4
,Slc43a1
,Slc43a2
,Slc44a2
,Slc46a1
,Slc5a10
,Slc7a7
,Slc7a8
,Slc9a9
,Slco2b1
,Slco4a1
,Slfn2
,Slfn8
,Slmap
,Smad3
,Smap2
,Smarcd2
,Smcr8
,Smpdl3b
,Snn
,Snora3
,Snora43
,Snora62
,Snora78
,Snta1
,Snx17
,Snx2
,Snx20
,Snx29
,Snx5
,Snx8
,Snx9
,Soat2
,Socs3
,Sord
,Sox15
,Sp110
,Sp140
,Spata13
,Spcs3
,Spg11
,Spg21
,Sphk1
,Sphk2
,Spi1
,Spib
,Spic
,Spn
,Spns3
,Spp1
,Sqor
,Srd5a3
,Srgap2
,Srrd
,Srsf6
,Srsf9
,Srxn1
,St14
,St3gal2
,St6galnac4
,Stab1
,Stambpl1
,Stard3
,Stat1
,Stat2
,Stat5b
,Stat6
,Stfa1
,Stfa2
,Stfa2l1
,Stfa3
,Stk10
,Stk11ip
,Stk40
,Sts
,Stx11
,Stxbp2
,Stxbp5
,Sult1a1
,Sumo3
,Sun2
,Susd3
,Syk
,Syk
,Syngr1
,Syngr2
,Tagap
,Tagap1
,Taok3
,Tap1
,Tap2
,Tapbp
,Tapbpl
,Tatdn2
,Tbc1d10a
,Tbc1d10c
,Tbc1d13
,Tbc1d22a
,Tbc1d2b
,Tbxas1
,Tcap
,Tfe3
,Tfec
,Tcirg1
,Tcn2
,Tep1
,Tfe3
,Tgfb1
,Tgfbi
,Tgfbr1
,Tgfbrap1
,Tgif1
,Tgif2
,Tgm1
,Tgm2
,Themis2
,Ticam1
,Ticam2
,Tifa
,Tifab
,Timd4
,Tk1
,Tk2
,Tlcd2
,Tle3
,Tln1
,Tlr1
,Tlr12
,Tlr13
,Tlr2
,Tlr3
,Tlr5
,Tlr6
,Tlr7
,Tlr8
,Tlr9
,Tmco4
,Tmem104
,Tmem106a
,Tmem119
,Tmem120a
,Sting1
,Tmem179b
,Tmem185b
,Tmem202
,Pacc1
,Tmem219
,Tmem221
,Tmem52
,Tmem63a
,Tmem86a
,Mymk
,Tnf
,Tnfaip2
,Tnfaip3
,Tnfaip8l2
,Tnfrsf11a
,Tnfrsf13b
,Tnfrsf14
,Tnfrsf17
,Tnfrsf1a
,Tnfrsf1b
,Tnfrsf23
,Tnfsf13
,Tnfsf14
,Tnfsf18
,Tnfsf9
,Tnip2
,Tnni2
,Tns4
,Top3a
,Tor3a
,Tor4a
,Tpd52
,Tpm3
,Tpp1
,Tpsab1
,Tpst2
,Tradd
,Traf2
,Traf3ip3
,Traf5
,Trem1
,Trem2
,Trem3
,Treml1
,Treml2
,Treml4
,Trex1
,Trib1
,Trim14
,Trim21
,Trim30d
,Trim47
,Trim65
,Trmt2a
,Trpm2
,Trpm4
,Trpv2
,Trpv4
,Tslp
,Tspan14
,Tspan32
,Tspan33
,Tspan8
,Ttc39b
,Ttc7
,Tuba4a
,Tubb1
,Tubb6
,Twf2
,Txnip
,Txnrd1
,Tyrobp
,Uap1l1
,Uba7
,Ubash3b
,Ubc
,Ube2g2
,Ucp2
,Ugt1a7c
,Ugt1a9
,Uhrf1bp1
,Umps
,Unc13d
,Unc93b1
,Usp25
,Usp35
,Vamp8
,Vasp
,Vav1
,Vav2
,Vipr1
,Vpreb3
,Vps13c
,Vps18
,Vps26a
,Vps37b
,Vrk2
,Vwa5a
,Was
,Wasf2
,Wdfy2
,Wdfy4
,Wdr55
,Wdr81
,Wnt11
,Wwp2
,Pald1
,Xcr1
,Xdh
,Xirp1
,Ykt6
,Zbtb32
,Zbtb8os
,Zc3h10
,Zc3h12a
,Zc3h6
,Zc3hav1
,Zfhx3
,Zfp296
,Zfp36
,Zfp385a
,Zfp513
,Zfp658
,Zfp691
,Zfp697
,Zfp703
,Zfp710
,Zfpm1
,Zfyve26
,Zmynd15
,Znfx1
,Zswim4
,Zyx
,5031439G07Rik
,Inava
,AA986860
,Tmem266
,Shisa8
,AV320801
,AW046200
,AW551984
,Aard
,Abca2
,Abca6
,Abca8b
,Abhd5
,Abi2
,Abtb2
,Acan
,Acap3
,Asic2
,Asic1
,Asic4
,Ace
,Acot7
,Acsl3
,Acy3
,Adam11
,Adam12
,Adam19
,Adam22
,Adam5
,Adam9
,Adamts2
,Adamts4
,Adamtsl3
,Adamtsl4
,Adap1
