"",.
salmon.gene1,Dnajb5
salmon.gene2,Rundc1
salmon.gene3,Egr1
salmon.gene4,Gpr3
salmon.gene5,Midn
salmon.gene6,Sik1
salmon.gene7,Fmnl1
salmon.gene8,Nr4a3
salmon.gene9,Trib2
salmon.gene10,Ptpn1
salmon.gene11,Spred2
salmon.gene12,Egr4
salmon.gene13,Bhlhe40
salmon.gene14,Rims4
salmon.gene15,Txndc11
salmon.gene16,Egr2
salmon.gene17,Zswim4
salmon.gene18,Mapk14
salmon.gene19,P4ha1
salmon.gene20,Traf3
salmon.gene21,Spata2l
salmon.gene22,Mn1
salmon.gene23,Per2
salmon.gene24,Uspl1
salmon.gene25,Etv5
brown.gene1,Cacybp
brown.gene2,Cycs
brown.gene3,Enoph1
brown.gene4,Tubb4b
brown.gene5,Tubb2a
brown.gene6,Hprt
brown.gene7,Tuba1b
brown.gene8,Acot7
brown.gene9,Tuba1a
brown.gene10,Dok5
brown.gene11,Hmgb1
brown.gene12,Akirin2
brown.gene13,Morf4l2
brown.gene14,Vdac3
brown.gene15,Rheb
brown.gene16,Set
brown.gene17,Snu13
brown.gene18,Fkbp4
brown.gene19,Ube2b
brown.gene20,Ube2e1
brown.gene21,Tceal9
brown.gene22,Hsp90aa1
brown.gene23,Tubb3
brown.gene24,Khdrbs3
brown.gene25,Shtn1
red.gene1,Ppp2ca
red.gene2,Khdrbs1
red.gene3,Nap1l1
red.gene4,Calm2
red.gene5,Dnaja1
red.gene6,Sybu
red.gene7,Stx7
red.gene8,Zc3h15
red.gene9,Psip1
red.gene10,Stip1
red.gene11,Tuba4a
red.gene12,Atp6ap2
red.gene13,Ramac
red.gene14,Hspa8
red.gene15,Hdac2
red.gene16,Mdh1
red.gene17,Mob4
red.gene18,Pspc1
red.gene19,Dnajb6
red.gene20,Phyhipl
red.gene21,Ube2v2
red.gene22,Nrn1
red.gene23,Serbp1
red.gene24,Pfn2
red.gene25,Nkiras1
purple.gene1,Nrgn
purple.gene2,Emc4
purple.gene3,Ttc9b
purple.gene4,Ctxn1
purple.gene5,Jpt1
purple.gene6,Lin7b
purple.gene7,Syp
purple.gene8,Rtn1
purple.gene9,Ppp1r1a
purple.gene10,Ywhah
purple.gene11,Reep2
purple.gene12,Hras
purple.gene13,Slc25a14
purple.gene14,Arpc3
purple.gene15,Olfm1
purple.gene16,Lpcat4
purple.gene17,Pin1
purple.gene18,Dctn3
purple.gene19,Tango2
purple.gene20,Cacng2
purple.gene21,Vti1b
purple.gene22,Stard10
purple.gene23,Npy
purple.gene24,Gtf2h5
purple.gene25,Zmat2
greenyellow.gene1,Ngef
greenyellow.gene2,Cpne9
greenyellow.gene3,Ppp3ca
greenyellow.gene4,Foxp1
greenyellow.gene5,Neu2
greenyellow.gene6,Calb1
greenyellow.gene7,Cnih3
greenyellow.gene8,Cacnb3
greenyellow.gene9,Sorbs2
greenyellow.gene10,Gm29674
greenyellow.gene11,Cplx2
greenyellow.gene12,Rorb
greenyellow.gene13,Plk5
greenyellow.gene14,Sema4f
greenyellow.gene15,Tmod1
greenyellow.gene16,Drp2
greenyellow.gene17,Dact2
greenyellow.gene18,Myl4
greenyellow.gene19,Arhgap15
greenyellow.gene20,Arpp21
greenyellow.gene21,Sstr3
greenyellow.gene22,Tshz1
greenyellow.gene23,Cartpt
greenyellow.gene24,Zdhhc8
greenyellow.gene25,Stx1a
turquoise.gene1,Pfdn5
turquoise.gene2,Rpl8
turquoise.gene3,Smdt1
turquoise.gene4,Rps9
turquoise.gene5,Rpl26
turquoise.gene6,Rps11
turquoise.gene7,Rpl13a
turquoise.gene8,Rplp1
turquoise.gene9,Rps15
turquoise.gene10,Rps19
turquoise.gene11,Cox4i1
turquoise.gene12,Use1
turquoise.gene13,Rps24
turquoise.gene14,Fam173a
turquoise.gene15,Erp29
turquoise.gene16,Rpl6
turquoise.gene17,Lamtor4
turquoise.gene18,Bax
turquoise.gene19,Rps5
turquoise.gene20,Rpl21
turquoise.gene21,Rps18
turquoise.gene22,Rpl14
turquoise.gene23,Ndufb7
turquoise.gene24,Rpl32
turquoise.gene25,Rpl24
green.gene1,Zfhx2
green.gene2,Gcn1l1
green.gene3,Cabin1
green.gene4,Ptprs
green.gene5,Celsr3
green.gene6,Gon4l
green.gene7,Caskin1
green.gene8,Shisa7
green.gene9,Speg
green.gene10,Gga3
green.gene11,Mapkbp1
green.gene12,Trank1
green.gene13,Szt2
green.gene14,Plec
green.gene15,Nktr
green.gene16,Pkd1
green.gene17,Cep250
green.gene18,Fyco1
green.gene19,Garnl3
green.gene20,Cacna1d
green.gene21,Plekha6
green.gene22,Capn15
green.gene23,Tspoap1
green.gene24,Zgpat
green.gene25,Abcc5
tan.gene1,Mdm4
tan.gene2,Xist
tan.gene3,Ddx17
tan.gene4,Ints6l
tan.gene5,Tia1
tan.gene6,Tet2
tan.gene7,Gm47469
tan.gene8,Hdx
tan.gene9,Pnisr
tan.gene10,Ogt
tan.gene11,Luc7l2
tan.gene12,Prkdc
tan.gene13,Gm42979
tan.gene14,Rufy2
tan.gene15,Gm44560
tan.gene16,Eml6
tan.gene17,Zfp950
tan.gene18,Zkscan2
tan.gene19,Nvl
tan.gene20,Rbm5
tan.gene21,Rnpc3
tan.gene22,Stard9
tan.gene23,Gm47260
tan.gene24,Guf1
tan.gene25,Gabpb2
blue.gene1,Atrn
blue.gene2,Camsap2
blue.gene3,Nckap1
blue.gene4,Opa1
blue.gene5,Akap6
blue.gene6,Frmpd4
