Gene Symbol,Negative logP
CXCR5,3.165789182
GPX4,1.354597382
PCBP2,1.595953514
PLCG2,1.321709298
SERPINF2,1.581814757
SLC1A5,1.320417675
CELF1,2.99161277
ATP1A3,2.025327146
PRPF8,1.419348682
PPIB,2.458932726
MMUT,1.353449246
BTNL2,2.941801812
TAGLN,1.440033559
HNRNPL,2.332192285
CKB,2.701671012
PDE4B,1.826434982
ABCG5,1.713768146
SRPK1,1.676809799
CBX3,4.266257199
PTPRJ,2.197137373
CALM2,1.307470328
SEMA4D,1.96297212
ADAMTS5,1.329577867
FOXG1,1.567624062
CHD4,2.828127344
ETV4,1.643897622
CCR4,1.325653339
PDIA2,1.590083776
CALCRL,1.446687511
LASP1,2.687378417
UBD,1.463668864
HPX,2.761627671
MGAT5,1.632998369
STXBP1,1.500271689
CUL2,1.812000128
BAG6,3.560209564
AMFR,1.636256436
MIP,1.379645291
APBB1,1.524270716
GBP1,1.324982798
AIF1,3.121570128
SMYD3,2.080048964
RANGAP1,1.895342209
USP8,2.603242882
DVL2,1.388255456
ASPM,1.662860337
LILRB2,2.338594361
AHCY,1.925183559
CARTPT,2.326435413
BCAM,62.78826558
MMP19,1.5147756
SNRPN,1.370977973
SLC14A1,1.575297996
ANKH,2.394738062
F13B,1.626150492
DDAH2,1.55642412
KRT9,2.417198282
CTH,1.457909388
SLC23A2,1.914174466
WWP1,1.416087438
POLR2E,4.230770418
DDX39B,1.36112155
MAP3K11,1.751168807
TNXB,2.514889286
PTPN12,1.395395994
TBX1,1.852200051
DIRAS3,4.022143841
SRA1,2.006921052
PRSS8,1.843208632
S1PR3,1.735205781
HNRNPH1,1.342103158
MBNL1,1.700035331
NAPSA,1.5892565
ACADVL,1.673889539
NUP62,1.33011621
CRY2,5.391548851
LCP1,1.570344599
GTF2H1,1.325193953
LIG3,1.600655152
PURA,2.667016489
CRX,1.76990888
CAMK4,1.836093567
KCNA2,2.237764207
AKAP9,1.387640052
ZYX,5.253575994
PSMC3,8.358010595
CD2AP,5.6961778
PRKRA,2.907314437
MARK2,3.053724633
AMHR2,1.808660787
ABCA7,12.21150638
PSMA3,1.56541513
ARHGAP1,1.388138674
HIC1,1.762984371
PAX4,3.078865195
GIPR,3.692889222
S1PR2,1.68968912
RCOR1,1.526542227
FSTL1,1.56437857
CHRNE,4.065794544
BPI,2.817956454
MAL,1.552268458
PTGFR,1.965732603
TEAD1,4.366178193
KAT8,1.625434939
ERO1A,1.463126051
NECTIN2,148.9072092
TCF7,1.611241812
TRPC4,1.311882866
LILRB4,1.820419487
FERMT2,3.671273915
CD79A,1.488825451
PHB2,1.802195847
ELP1,1.486090212
SLC20A2,2.741889745
ADCY5,3.361361012
C1S,5.281149687
FKTN,2.452163784
TRIM22,2.188673042
MBD4,1.8273387
EPHA1,8.501028168
FOSB,2.970535053
F2RL2,1.400520857
USP14,2.072326866
GIT1,3.142215349
ABCE1,2.263316719
SP7,1.330915673
NOB1,1.462130555
RDH5,1.653803556
ETF1,2.358287985
MUC6,2.059613026
PIP4K2A,1.668815733
NSF,1.686322561
JMJD6,1.511689058
STX4,1.71139311
NCK2,1.598134393
WWP2,2.118050728
POLR2G,1.648203693
CLEC16A,2.924562538
RFC1,1.328521684
FKBP8,2.66242095
ATP2B2,1.568378952
PCLAF,1.626260682
PLCB2,1.472318554
PCSK5,1.806708397
ADH4,1.361980234
SEPT4,2.295986831
SEPT4,2.295986831
MAPK8IP1,3.264624692
CD48,1.329234789
PIWIL2,1.656374805
TRIO,1.518743742
ETV5,1.629560934
HOPX,1.876376995
NFE2,1.485744532
WNT3,1.599531089
CAMK2D,1.375800438
DAB1,2.254339774
ARHGEF1,1.621384098
TACR3,1.739189509
PTP4A1,1.395903606
ATF5,1.315576575
KRT16,2.779107751
TXNRD2,1.587825156
PRKD2,2.807181743
JAZF1,1.370529237
HSPA6,1.404481733
PLK3,2.72621192
RAPSN,6.297483303
TMEM106B,2.795066478
NCS1,1.847222585
RPS14,1.526556827
CTF1,1.64384024
HEPACAM,1.690731896
COL4A3BP,1.509269192
SCTR,2.180923512
PDE6B,1.688818514
ESPL1,1.612272125
MAT1A,2.526586027
PIP5K1C,1.396606602
THADA,1.443323684
IL34,1.383902755
GALE,1.326159226
EEF1D,1.415849769
SIM2,1.867164196
LAMA4,1.479097441
PSMC6,2.03434683
SETD1A,1.743619047
WIPF1,2.232606636
DGAT1,1.581881084
CISD1,2.753402951
RGS5,1.847375361
MRC2,1.451009006
SALL1,1.908016668
BST1,1.444869261
MARCO,1.748118545
TAF4,1.720515571
GKN1,1.489964646
AP1G1,2.75168336
DNAJC5,1.417641145
COPS6,1.586063514
HIST1H4I,1.306053322
OTUB1,1.800601398
H1F0,2.410474853
CDK2AP1,1.306325803
LILRA3,2.74977523
SERPINB7,1.421452471
NUP88,2.460710572
AP2A2,4.190817511
EHD1,1.479699918
MAML1,4.404966979
SCAP,1.527170443
FGF5,1.386633944
MYCL,4.826522357
MAP3K2,1.314213491
PPP4C,1.794470849
MADD,2.464047973
TRPM1,1.548935431
CFL2,1.311010985
POU2AF1,1.733063089
EIF3H,1.496917835
TAF6,2.037990752
ZFPM2,1.395406788
SMTN,1.655588075
SH3GLB1,1.446298978
PRKD3,1.74663776
SNX1,2.920348523
SF3B4,1.584592575
RNF43,3.705137138
CCT4,1.757235022
PCSK7,1.725241946
GTF2F2,2.200390685
GLS2,1.439256699
SEC23B,1.857329022
GRK3,1.351201037
FOLR2,1.350470434
CCDC6,1.348828634
CRMP1,1.329151379
TP53INP1,3.569376776
SERPINA10,1.499283376
CENPC,2.837047471
CHRNA2,6.873998543
IFNA17,1.510674449
PMEPA1,2.56474507
HARS,2.23302977
VNN1,2.154839922
TRIM37,3.055349565
FXYD5,1.760925862
MAPRE2,1.430871987
CIDEC,1.531268769
STX6,1.46158966
MATK,1.836540448
LGR4,1.313265445
DNTT,2.188311074
SRXN1,1.845423883
GGA2,1.322347431
HLA-DOB,1.72415906
CLEC1B,1.549442991
SUGT1,2.346845396
CKAP2,1.977695377
LTBP4,1.685416574
RABEP1,3.312702962
ATG12,1.414043217
CLN6,1.927456014
AGPS,1.507030195
PPL,2.878505814
EPHA5,1.618921037
NEFM,1.377713428
CLEC3B,1.972242795
CFHR5,1.698427475
NUDT21,2.271427097
ICA1,2.093982982
PHLPP2,2.468533857
NDUFS3,5.072475659
SLITRK1,1.544454739
RBFOX2,1.790002704
ASIP,1.520640667
DHODH,1.418459925
ASIC2,1.512027788
SNRPD2,3.543208991
IFNA8,4.880282341
DPP9,1.358595303
PFKFB4,2.262219152
DLST,3.386993757
SCG5,1.330246255
NFYC,2.010398918
PRRC2A,3.398613687
