Gene Symbol,Negative logP
SEMA4G,2.436447725
SLC43A1,2.279443809
NPFFR1,1.34738626
MXD4,1.331744578
PHF13,2.13130855
TEX14,2.062527245
RRP15,1.503277867
STK35,1.609011933
OSBPL6,1.326223654
RAB36,1.320136211
EGFL8,2.485864159
COL23A1,2.277966938
KANSL2,1.83428097
OCM,1.491995792
SLC2A7,2.336628925
RTN4RL2,2.999392413
RNF122,1.301864643
CLK4,1.664602283
BUD31,2.336214297
AMIGO2,1.869151817
MRPL43,2.358307805
QTRT1,1.70923105
MRPS5,1.322201489
UMODL1,1.69011444
SH3YL1,2.853066165
TMEM237,1.379707752
GPANK1,3.145693958
MARVELD3,2.549966552
METRNL,2.106038608
OGFOD1,2.114814117
DAGLB,1.637875815
TBX10,1.392727312
CYP4A22,1.905458999
MTF2,1.734875447
SCYL3,1.589054141
STBD1,2.587489054
KCTD2,3.443806086
REEP2,2.426223593
OAZ3,1.374708132
SMC1B,1.477164686
PPP1R14C,1.882463567
RNF167,1.906193224
C1orf116,1.345092225
ATP8B4,3.347424919
MRPL9,1.41015089
CPNE8,1.443709563
BTG4,1.345149909
CEACAM19,11.85977487
ALDH3B2,1.31238187
SNX19,3.399713374
LRRC8D,2.825416911
RIMS3,3.265816458
EVI2B,1.590929562
CMTM7,2.221465292
ZFP64,2.782726674
HFM1,1.664060931
TMEM132E,1.413311447
TBATA,1.507044153
LRRN2,1.373136331
CASS4,3.234636974
RABEP2,1.533681153
NMUR1,1.469096265
SNX33,1.476513668
CST8,1.475097821
EML2,3.949117789
WDR18,1.564824784
MAIP1,2.653236401
PRDM15,1.490434597
DECR2,1.901598578
SLCO6A1,1.513427849
EARS2,1.531239253
SELENOM,1.702392668
ZKSCAN5,2.06216127
RIC8B,2.577738549
IFFO1,2.583709066
RAP1GAP2,1.422106262
INTS4,1.735371042
KIAA1671,2.329596419
SLC10A7,1.606021397
MMD,1.613001927
INAVA,3.452114582
CCNB1IP1,1.343192933
ATG16L2,1.570619209
COLCA2,2.864199717
CNTNAP3,1.789868832
MS4A4A,14.07144029
TBPL2,1.864009153
UCKL1,1.36819109
TCAIM,1.883093532
TMED7,2.126272619
SLC16A5,2.890151579
GNPNAT1,2.389275975
FKBP7,2.798411719
CARF,2.074889113
ISG20L2,1.386221583
ACOXL,1.490286843
PCDHA1,1.357604735
TRIM4,2.316898904
WDR24,1.409838327
TRAPPC8,1.452016195
ZNF3,1.353606077
CYREN,1.402326749
ZNF655,2.611028949
PLA2G2F,1.669870438
TSKS,1.306704043
ELP5,1.31354249
RHBDL1,1.658051354
APOPT1,1.767029288
BEST4,2.285393654
ZFPL1,1.669444191
BBX,1.387300892
LILRA5,2.63262544
MVB12B,1.929149747
ST8SIA3,1.386158178
LDAH,1.549581519
WDR91,1.305210594
ELP6,1.536360797
TRMT61A,2.577722124
TXNDC16,1.570086302
SMG8,1.349245782
TSSK1B,1.967220121
FCRLB,1.931331857
TMEM163,2.760875776
SHISA5,1.499434223
GALNT8,2.115046122
NANOS2,1.567800621
BPIFB2,1.747535339
CCDC66,2.019165216
AGFG2,1.438219072
RCOR2,2.760950907
CPPED1,1.352969303
SEC22A,1.640904776
NUDT4,1.8012055
TIMM10B,2.095674034
FRYL,1.32540521
SPAG7,1.403216033
LRCH4,1.90014678
GCAT,2.304194475
ACY3,1.573846732
ATP9A,1.430041182
GAL3ST4,3.278783134
CST11,1.560146465
ADAMTS19,2.038483989
BROX,1.314356772
FBXO46,6.992508267
ELMOD2,1.40503319
CDK15,1.595439941
INTS8,1.935504573
SLF2,2.232695683
CENPQ,1.776478101
PPP4R4,1.571185128
PCDHA3,1.455014702
CACNG8,1.482711709
RAB3IL1,2.125535578
TYSND1,1.55458263
ZSCAN21,1.670785234
FAM76B,2.960268704
KIF12,1.312881449
DNAH3,1.335837705
N4BP1,1.423958267
FEM1C,2.283354042
VWA7,1.634212605
TNFAIP8L1,1.814429516
CELF3,2.256239452
SCARF2,1.520151273
FCHSD1,1.7495556
SPPL2C,1.565766526
OR1G1,1.425586721
OVCA2,1.327606553
HMHB1,1.425852936
ZNF254,2.014393917
SYT17,2.647836784
SLC38A7,1.468636058
DYDC1,2.072167867
PTRHD1,1.30748796
AREL1,4.876017764
DOP1A,2.188183786
MND1,1.515315873
MPPED1,1.45622986
NLRP8,1.95640197
INO80E,1.543846611
ARMC3,2.9466142
PALD1,1.729134911
FCF1,4.187247028
FAM193B,3.497832442
NLRP13,1.946345442
SPNS1,1.448086677
KRT33A,1.777257524
VNN3,1.74203359
JMJD8,1.53233271
FSD1L,2.085408292
CR1L,6.141872026
TAS2R60,5.960546221
TRMT12,1.493048726
TANC2,2.735914486
LY6G5B,2.655961594
SPINK4,1.873478974
TMEM259,5.694863681
SSBP4,5.979721606
NKIRAS2,2.100070117
CYP4X1,1.331716611
PMFBP1,1.423313195
BSPH1,1.566614243
ZNF287,1.527638543
GPR89A,1.889612334
RELL2,1.349886836
TAS2R41,2.335546071
TMCC1,1.317376651
GGTLC2,1.351620471
AGBL4,1.393478909
CEACAM16,17.24014337
TLNRD1,1.40720168
TDRKH,1.42044504
ZNF296,10.54015536
RMDN1,1.87696547
LYPD6,1.553960164
TTC5,1.391270773
KLHL29,2.030593407
CIAO2A,3.019478513
LY6G6D,1.54228459
YPEL4,1.529721846
FAM89B,1.835766145
OPALIN,1.745258624
PHYHIP,2.241906017
TSPOAP1,3.809052321
CCDC116,3.165375868
BPIFB6,1.538801711
SLC25A44,1.511971315
FSIP2,5.306888885
METTL27,1.443975054
MYOM3,2.768785352
EPHX3,1.407223864
RASL11B,1.555018888
TMEM245,1.35196217
TSPEAR,1.893367211
ADAMTSL5,1.902985769
CABP5,1.334456531
SLC4A9,4.650741904
THAP3,2.248320667
MFSD5,1.468699947
LYPD5,2.173821498
SCRT1,1.730837435
SLC45A1,2.471764829
ZNF668,1.698731208
KLHDC1,2.48156503
NAALADL1,2.215511089
USP35,1.936066476
FAM114A1,1.46459194
PCDHA4,1.322210609
TREML4,2.528063195
BTF3L4,1.532317915
SHISA9,1.46617712
WDR90,1.623678585
UBE3D,3.47845659
THUMPD2,2.256615681
ZNF317,1.519088022
SLTM,1.666794627
MCCD1,1.68839446
NLE1,1.755277677
MTSS2,5.217427055
TAFA1,2.748410443
BRMS1L,2.233758227
ZNF518A,1.727624563
LY6G6C,1.646814937
ABT1,1.346739234
RSPH6A,5.563185605
CLASRP,13.11674182
GBP6,2.160534523
TATDN1,2.366612351
LACTB2,3.975966102
ZNF19,2.928228421
KLHL18,1.353615881
LRRC37A,1.841185353
GPC2,3.095484612
KCNK7,1.8815038
ZC3HAV1L,1.803243669
SLC37A1,1.837256417
CHADL,1.942371927
SOWAHB,1.465352104
ANKRD13B,3.16488041
MINDY2,3.501510251
TCTEX1D4,2.853128097
GID4,1.653236401
FBXO24,1.661304511
PRRT1,2.723193654
ACP7,1.859146419
LRRC25,3.479935898
GREB1L,1.651325268
ANKS4B,1.61672335
TRIML2,1.681707051
DRC3,1.82131076
OR6A2,1.306000604
CMTR2,1.383808157
ZBTB12,1.373639099
FAM57B,2.316601704
MRGPRF,1.349711909
C1QTNF9B,2.951597044
PVRIG,2.500257947
UNC5CL,1.881107275
FAM220A,2.187521155
BMT2,2.899870797
SLC25A30,1.573423681
ZNF197,3.796178697
NECAB1,3.039876607
PRSS53,1.62178385
PIP4P2,1.896162084
CUEDC1,1.933226963
USP50,3.598702875
PUS3,1.321472516
FSCN3,2.938622926
OR2AG1,1.403710868
TC2N,2.910342118
CNPY4,2.991484992
C19orf25,1.563106191
ALG10B,2.693746579
TMEM121,1.72154365
GPR176,3.660886585
SLC35A4,2.050907758
IGFL1,1.330459985
HNRNPA1L2,2.09082923
TMEM8A,1.320826576
KNOP1,5.585143593
TMEM117,2.134978982
EHBP1L1,2.179096091
CLRN3,1.842633908
C1orf61,1.509591998
ANKHD1-EIF4EBP3,2.510941963
EML5,2.207377215
FAM117B,1.348179457
HEATR5B,1.334813148
GPR141,2.541830686
DHRS7C,1.820218484
DACT3,1.694971246
INSM2,2.198953203
SIGLEC15,1.669261642
ZNF830,2.528488263
TIFAB,1.390181565
CTRB2,1.774458123
TSPAN14,3.218610879
EIF1B,2.6062669
IRX6,1.311402225
OSER1,2.364164537
MRNIP,1.879919866
DPY19L4,1.635336459
CORO6,1.864040908
MTMR11,1.483477847
UBXN10,1.535629699
IQCK,6.21044749
SPOCD1,1.414629523
CCDC83,4.086217926
ZMAT2,2.131179294
ZKSCAN7,2.878144818
PCOTH,2.8694411
GLYATL3,2.304614649
RIBC2,1.608764874
PCNX3,1.490313704
C6orf47,3.291902179
FBXO47,3.021764686
IGIP,2.915387979
SPRYD4,2.126191309
KBTBD4,3.419075024
SNX22,2.676108792
C1QTNF4,5.046206494
ZBTB3,1.345034549
LRRC20,1.388956805
GPATCH11,2.087926809
BEND5,1.882165481
TEDC1,2.87095494
LAMTOR4,2.855114582
ZNF445,3.402315781
ACSM5,1.728204845
VSIG10L,1.512734326
LY6G5C,2.255315937
SPRR2F,1.512621202
ZCCHC2,1.531770861
WDR55,2.135536385
SCIMP,1.443625123
DNAJB7,1.410441328
MCRIP2,1.627603568
TSPO2,1.819988881
MAP11,2.905424066
YDJC,3.145408572
CSTL1,1.392437757
ZNF595,3.074667277
CEACAM20,4.627382534
LY6G6F,1.502627984
CLVS2,1.315513708
OR2S2,1.59724011
ANKIB1,2.305807357
MS4A6E,8.364013888
STMN4,1.346382334
SS18L2,1.388244838
METTL2A,1.758080147
TMEM184A,2.556862233
CRCT1,1.369236617
FBXO36,1.740668975
PRSS36,2.225125527
TYW5,2.788719232
SAC3D1,2.313774986
RNF214,2.144389997
SLC16A14,1.600984274
MS4A4E,13.35234324
GOLT1A,1.530944196
DCAF16,1.408034332
TMPRSS11B,4.828653903
ANKRD40,2.093002706
IFITM10,1.992337553
IGSF10,2.094997904
ZNF675,1.419519805
KANSL1L,3.241360573
SIAH3,2.757582816
ZNF394,1.67405354
RIMBP3C,3.549073797
OOEP,1.347773004
PROX2,3.888771102
UBFD1,1.526644433
ZNF17,2.542299728
CCDC9,2.635542815
LRRC18,1.407689976
NKPD1,12.52414003
ALKAL2,2.220367439
C1orf112,1.409325319
ABITRAM,1.827951966
MYPOP,1.806931084
PPP1R37,14.7654321
RRNAD1,1.457772295
SAPCD1,1.593988107
FBRSL1,2.222428195
STK32A,1.512734326
GPR27,2.140369421
CYSTM1,3.067429849
TTC9B,1.350178537
DYDC2,2.124799785
ZNF800,2.370835143
TMEM154,1.852509179
TMCO6,2.006242026
CCDC149,2.131020714
ZNF707,1.565622739
ZFAND1,1.338632245
ZBTB41,1.746492382
TMEM270,1.643133153
TEX37,1.351288792
ARMC7,2.525929497
KRTAP10-9,1.502932064
FAM200A,2.326822369
ASNSD1,1.361560665
ZBTB47,1.600759058
TMEM168,2.877129077
DPRX,1.851922023
ZNF646,1.642598825
TLCD2,1.459495341
ICA1L,2.233966583
TTLL10,1.419154823
LRRC58,1.450212282
LCE5A,1.337875189
WFDC11,1.721223542
TRIM6-TRIM34,1.530708294
OR2L13,3.843814427
TEX9,1.357219025
C1orf167,1.319039335
LEXM,2.016026596
TTC30A,2.360254605
CNTD2,1.358892914
HHLA3,1.341463949
CCDC15,1.811915626
CDR2L,3.67668601
TMED7-TICAM2,2.076750799
OTULINL,1.593204427
ZNF283,1.387099641
ZNF500,1.301056054
SLC25A48,1.317367632
SIRPD,1.38141852
EML6,2.748532125
OR8D2,1.45392643
PCED1B,2.89065773
IGLON5,1.491483748
CDRT4,1.951131104
OR7G3,1.541770202
SH3D21,1.345409583
KRTAP12-2,2.10747132
CCDC112,3.051861
FAM131B,2.495692283
TTC30B,2.01513978
ZNF488,1.475707757
TP53I13,2.719922677
SMIM22,2.22847866
RPS6KL1,3.497177006
OGFOD2,1.438088054
ZASP,1.929777367
FAM209A,1.37879255
TMEM223,1.852571031
CCDC158,2.731515636
WDR78,1.335818884
TMEM37,2.502172264
MANBAL,1.324102564
C4orf51,1.661762701
OR7D2,1.537587027
KRTAP12-1,2.298967658
TMEM169,1.341635584
C4orf50,1.608694312
KCTD21,1.633184954
XKR9,1.733838888
C11orf53,2.665445729
ZNF502,1.60279022
EFCAB5,1.859083623
FAM171A2,2.444893454
LRRC4B,1.446966984
EFCAB12,1.482672118
ZNF623,1.382255492
RINL,1.962254871
METTL26,1.330060488
KCTD4,2.207573288
MRLN,1.449026035
C17orf99,1.509521803
PLA2G2C,2.835112042
ZNF714,1.918148828
CCDC9B,1.426339488
OR4A47,2.416053478
FAM81B,2.412031004
ZNF430,2.395288068
CALML4,1.732335568
ZNF680,1.467882884
C5orf60,1.470826397
FAM214A,1.943857738
DTWD1,1.332220282
TMEM179B,1.83636164
ATP5MF-PTCD1,1.875985121
METTL5,1.441747558
ZNF596,2.023274131
OR2L8,1.480999397
SAXO2,4.337998121
OR6F1,1.33858489
SIGLECL1,2.933711355
C1orf141,1.820563117
OR6B3,1.595679533
ZNF816,2.168501357
KRTAP10-10,1.820821771
ABHD16B,2.297207702
EFCAB13,1.692610944
ZNF726,1.651150177
KRTAP12-4,2.000738929
MROH6,1.412289035
ARHGEF37,1.886257138
TMPRSS11F,2.809164252
HSF5,1.527843496
C2orf69,2.634137785
NUTM2A,2.507574887
C17orf97,1.643572558
PRR27,1.483662979
RIIAD1,1.80852104
GOLGA6L4,2.262187379
ARL17B,1.79411927
OR2L2,2.702261368
INAFM2,2.344631028
OR10G7,1.913960669
TPRX1,1.787067008
SAP25,1.910589489
SH2D4B,3.021157814
KRTAP10-11,2.017615684
KIAA1211L,1.441723539
ABHD15,2.155423426
PRR21,1.473286047
TVP23C,1.40329297
OR2AE1,2.415295714
OR8D1,1.656374805
TMEM225B,2.308264463
ZNF610,1.410318427
ZNF619,1.302291279
EFCAB3,1.922377771
OR2A1,2.394910538
OR4B1,1.331381155
KRTAP10-12,2.152248478
SMIM19,2.908544087
FAM222A,1.483901123
ZNF583,1.40709078
ARHGEF33,1.710121317
ZNF880,1.364616796
OR2AG2,2.265280158
ZNF710,1.645411412
OR2B2,1.646160676
KRTAP12-3,2.154350136
OOSP2,4.71701556
PPM1N,1.625105081
C19orf73,1.85754796
ZNF548,2.180035134
OR7G1,1.479346189
TVP23C-CDRT4,1.937192467
CLEC2L,2.179299487
OR10K2,1.491362562
C17orf58,1.399637069
FNDC8,1.480933673
MBLAC1,2.751830487
TTC22,1.81000466
OR2AK2,2.103473783
OR4C3,1.481538705
OR4D5,1.354577731
OR10G8,1.372582932
INAFM1,2.518557371
C8orf88,2.105728255
MFSD6L,1.999956573
GOLGA6L3,1.437623854
ZNF736,1.363712748
CBY3,1.797130412
ZNF660,3.353684514
ZNF547,1.757433727
LRRD1,1.594636562
TRIM49B,3.132839042
NBPF7,2.0522037
OR2T8,1.660032085
IGSF23,11.13857313
C16orf92,2.365885633
OR2M5,2.26816958
OR2L5,2.18243463
FAM177B,1.796531948
MINAR2,3.570005616
TRIM64C,2.473298961
LRRC69,1.343940148
FAM166B,1.310105372
NPIPB11,1.449575953
ZNF852,3.101763126
C16orf82,1.872895202
OR2L3,3.411033977
C20orf78,1.422772534
C11orf94,1.828478313
TEX48,1.352646375
TMEM262,1.705071067
BTBD19,2.540562276
TEX22,4.912076679
OR4F21,1.728623128
C12orf77,1.34034997
C17orf107,4.077570399
ZNF730,2.014326583
RNF223,1.645449804
CASTOR3,2.03480771
ZNF816-ZNF321P,1.775648255
C9orf47,1.579582131
BHMG1,7.636406821
KRTAP5-6,2.480434499
ZNF385C,1.390982187
C10orf142,1.419382901
LOC390937,1.620912137
LOC100507507,2.6483003
C11orf88,1.374841947
FAM180B,5.532125629
LOC101928592,4.08055579
UBE2Q2L,1.677367288
DPP9-AS1,1.927382523
LOC729800,1.575919117
C17orf47,2.335094895
TMEM133,1.30528953
LOC100130357,2.19237704
LOC645177,1.999782907
LOC100505502,1.636933581
LOC101929692,1.308211476
LOC101929206,1.709075441
LOC101927506,2.339039708
LOC101927260,1.551000128
LOC100996574,2.530398868
LOC100996573,1.721566523
